#options: 624x1076 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=crf mbtree=1 crf=20.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:73 out:73 type:P dur:2 cpbdur:2 q:25.40 aq:16.10 tex:7188 mv:1876 misc:1328 imb:38 pmb:240 smb:2374 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:25.40 aq:16.64 tex:10808 mv:2482 misc:1390 imb:43 pmb:310 smb:2299 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:25.40 aq:14.52 tex:2202 mv:555 misc:979 imb:18 pmb:111 smb:2523 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:25.40 aq:16.16 tex:6029 mv:1696 misc:1315 imb:36 pmb:216 smb:2400 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:25.40 aq:16.87 tex:9304 mv:2250 misc:1342 imb:40 pmb:278 smb:2334 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:25.40 aq:16.93 tex:10730 mv:2205 misc:1369 imb:46 pmb:249 smb:2357 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:25.40 aq:14.50 tex:1496 mv:403 misc:821 imb:13 pmb:81 smb:2558 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:25.40 aq:17.32 tex:10530 mv:2496 misc:1358 imb:34 pmb:274 smb:2344 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:25.40 aq:17.35 tex:6636 mv:1927 misc:1309 imb:27 pmb:257 smb:2368 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:25.40 aq:17.65 tex:11685 mv:2525 misc:1382 imb:32 pmb:303 smb:2317 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:25.40 aq:14.78 tex:1953 mv:506 misc:949 imb:17 pmb:104 smb:2531 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:25.40 aq:17.09 tex:12486 mv:3228 misc:1526 imb:35 pmb:374 smb:2243 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:25.40 aq:17.00 tex:6664 mv:1720 misc:1264 imb:30 pmb:216 smb:2406 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:25.40 aq:16.75 tex:10996 mv:2285 misc:1375 imb:31 pmb:275 smb:2346 d:- ref:0 ;
